Date,Value
31-12-73,7.6541
31-12-74,8.0289
31-12-75,8.4086
31-12-76,8.9715
31-12-77,8.7683
31-12-78,8.1979
31-12-79,8.1564
31-12-80,7.8868
31-12-81,8.6807
31-12-82,9.4847
31-12-83,10.1041
31-12-84,11.3465
31-12-85,12.3318
31-12-86,12.5967
31-12-87,12.9469
31-12-88,13.8995
31-12-89,16.2131
31-12-90,17.4922
31-12-91,22.7116
31-12-92,28.1558
31-12-93,31.2911
31-12-94,31.3939
31-12-95,32.4181
31-12-96,35.506
31-12-97,36.3645
31-12-98,41.3561
31-12-99,43.1274
31-12-00,44.9975
31-12-01,47.22
31-12-02,48.6257
31-12-03,46.5908
31-12-04,45.261
31-12-05,44.0002
31-12-06,45.1861
31-12-07,41.1774
31-12-08,43.3859
31-12-09,48.3324
31-12-10,45.6507
31-12-11,46.5782
31-12-12,53.3743
31-12-13,58.5149
31-12-14,60.9953
31-12-15,64.1073
31-12-16,67.1572
31-12-17,65.0659
31-12-18,68.3734
31-12-19,69.8226
